Q3,Q4,Q5,Q6,Q7,Q8,Q16,Q40,Q37
Four Year Public College/University,Master's,Hispanic-Serving Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I was teaching the LA Pedagogy course (Physics Cognition and Pedagogy); I am also director of our LA program, so spent many hours with other LA Program leadership working out how the LA-supported courses would transition to online instruction, and then working with faculty and LAs to practice the various strategies in the two days before spring break + online instruction. The support structure of a group of dedicated colleagues working together was very valuable."
Four Year Private College/University,Bachelor's,Rural Institution,3,36-50,I have never taught online or in a blended format previously.,3-4 days,Other,I vacillate between this is all not so bad to I may soon choose a different career.
Four Year Public College/University,Master's,NA,4,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"So, the main thing that was really hard and that you didn't hit on here was that I was also stuck at home with two small children, so I had a lot of added child care responsibilities. This made any kind of teaching really hard."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Urban Institution",1,200 or more,I have taught in a blended online/in-person format previously.,1-2 weeks,Tenured faculty with research expectations,"I already planned on teaching a flipped-classroom and had assigned youTube videos as prep work so my overall strategy didn't need to change much. It took us a little bit to figure out Zoom breakout rooms to facilitate small group work, but we got the hang of it. Everyone got better at showing work using annotate and the whiteboard functionality. The biggest change I made was making the exams collaborative and over multiple days rather than in-class."
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have taught in a blended online/in-person format previously.,1-2 weeks,Full time instructional faculty without tenure,"Parts turned out better than I expected.  Most students have showed up for the group meetings on Zoom, and the work they have turned in appears to be similar to the past.  The greatest loss has been the sense of whether I am adequately communicating.  The second greatest loss is having students experience using the apparatus directly.  I have had to change the focus of the lab away from doing the experiments toward a stronger emphasis on understanding the experiments."
Four Year Public College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"Online teaching is great, we should do more of it, syncronous and asyncronous. My students absolutely love it."
Four Year Public College/University,Bachelor's,NA,2,51-100,I have never taught online or in a blended format previously.,3-4 days,Full time instructional faculty without tenure,I strongly appreciated sharing ideas and workload with my colleague who was teaching the same course.
Four Year Public College/University,Bachelor's,Black-Serving Institution,3,36-50,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"By far the biggest challenge was not pedagogical or technological, but psychological: A large fraction of the students taking our calc-based intro physics course seemed to simply check out after the transition to online, either entirely or mostly. Attendance rates at the synchronous Zoom-based lab class we tried (with breakout rooms for lab groups) were horrible. Attendance rates at our asynchronous, drop-in Zoom+Slack help sessions were horrible. Assignment completion rates were bad, and students who did turn work in seemed to be merely going through the steps mechanically, as if looking for easy points and not actually engaging. It's like everyone was in shock.

Word of mouth in the department and on campus is that this was a widespread phenomenon, not limited to this intro lab course."
Four Year Public College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"Given the speedy transition, me and a team of other 3 faculty members (we were coordinating), made a huge effort to make a ""seamless"" transition to online teaching. The aim being to keep a similar dynamics to the face-to-face teaching. This was somewhat successful. 

But it is clear to me that this is not the correct strategy. Students learning remotely can't really interact in the same way as we did in our studio classes. Though young students are used to online interactions, they also keep some distance (privacy). 

So, a future online teaching course (on the Fall), will require some restructuring of the teaching that uses more systematically online tools of interaction. We have employed for example a LON-CAPA platform that gives good real-time feedback on the exercises. That's a good example of how things should work, I think."
Four Year Public College/University,Ph.D.,Minority-Serving Institution,1,20-Nov,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,"I had to transcribe my notes and scan them, in order to post them for the students. This requirement took more time than I expected. I also had to substantially modify my presentation slides, as I was not able to actively use a board next to the screen for in-depth analysis. It was not possible to gauge the level of understanding of the audience, since I could not observe them as a group. For graduate classes, video-conferencing is not effective, as most of the lectures are dynamic interactions between the students and me, which was not possible at all without creating an audio chaos."
Four Year Public College/University,Bachelor's,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"'-Made me aware of the differences (pros/cons) between online and face-to-face teaching. I now feel that the best path forward for my teaching will integrate both forms of instruction- with an expectation that, should one form of instruction fail (maybe a subset of students learn better online or FTF), the structure of the course retains integrity and learning goals are still achieved.
-Made me question and explore what exactly a brick and mortar institution does for the students & community
-Made me realize how much the brick and mortar institution requires students for advanced functions - such as research, services, athletics, and community engagement.
"
Four Year Public College/University,Bachelor's,Rural Institution,2,36-50,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"My university serves a region in rural Appalachia and a commuter student base, about 20% live on campus and 30% live in neighborhoods around campus and the rest live in the surrounding rural and mountainous areas.  The issue that arise from this the students access to  internet connectivity.  My courses already used the publishers website for homework and a third party polling app, both of which work fine when students have access to campus wifi.  Once they were dispersed there was no guarantee they could safely access reliable internet at the required times. I had to abandon the polling app, because I couldn't penalize students without internet.  Average attendance went from 70-80% to about 10-20% for the the synchronous lectures. Only one student contacted me via zoom for ""office-hours"" and the general interaction with student approached zero.  This approach entirely defeats the point of paying for a university education if the students end up just watching videos and answering a few questions from a text. I now understand the frustration my colleagues have with teaching online courses and teaching upper level courses to students that took the prerequisites online.     

Like many of us, I noticed the scores on the online midterm were much better than the in-class midterm.   However the scores on a final conceptual assessment were worse than expected, when compared with there online midterm grades.  Suggesting this mode of learning wasn't actually improving their understanding. Many colleagues at my university and other had issues with cheating through the Chegg platform, which made us question the validity of any of the online grades.
"
Four Year Private College/University,Ph.D.,Urban Institution,3,101-200,I have taught fully online previously.,1-2 weeks,Full time instructional faculty without tenure,"Chegg is the devil. I'm finding it nearly impossible to administer tests fairly. Too many restrictions, and I disadvantage students. Too few restrictions, and the students commit academic integrity violations."
Four Year Public College/University,Ph.D.,Minority-Serving Institution,2,36-50,I have taught in a blended online/in-person format previously.,5-6 days,Tenured faculty with research expectations,I used Zoom and a web cam to teach my smaller intro physics course synchronously from my living room at the usual meeting times.  My students loved and appreciated preserving the normalcy of the course routine.
Four Year Public College/University,Bachelor's,Rural Institution,1,21-35,I have never taught online or in a blended format previously.,3-4 days,Other,I learned that everything takes longer.  Every tool you add into a video lecture takes lecture time to use. Students are stressed and easily distracted by roommates or family. They feel that it takes longer to grasp concepts.  Students complain about learning in an environment that was a non-learning (fun) environment before and the dissonance they feel because of this. I learned that at risk students are put more at risk by remote learning. Students with some kinds of ADHD really struggle without the structure of coming to class.  I learned to communicate more and to open more lines of communication (even gave them my cell phone number so they could text).  I learned that we are all have to work as partners to make the class work.
Four Year Private College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,Columbia handled the transition to online teaching reasonably well. Classes were cancelled March 9-10 so that faculty could prepare to teach online the next 3 days before Spring Break. Zoom sessions were booked automatically for regularly scheduled classes and accounts were set up for all instructors.
Four Year Private College/University,Ph.D.,Urban Institution,3,36-50,I have never taught online or in a blended format previously.,1-2 weeks,Other,"I thought it went fine and so did the students, but of course it was a lot more prep on my end recording some lectures.  I was also worried that I was not following all the things I've heard are best practice in the field. (For example, my asynchronous recordings were a lot longer than ~10 minutes)"
Four Year Public College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,3-4 weeks,Tenured faculty with research expectations,"I think that in some ways, the online version of the course is better than the face-to-face version, but in other ways it is worse. It is much more difficult to get the students to interact with each other during the synchronous meeting times. I think this is partially due to technology (some don't have dependable internet, and few have the ability to write with a digital pen), but it is also cultural (they typically use the internet for passive consumption of information). I am also having an issue preventing cheating on homework and exams, whereas that's easier to prevent in a face-to-face setting. I like to do lots of demo experiments and make time to play with them and even allow students to interact with them. I've come up with some home demos, but not nearly as much. That said, this has forced me to make videos of the lecture-part of the class, rather than using some in-class time to do this. I can make this available asynchronously and use normal meeting times to work together on homework problems and tutorials. The biggest issue is students don't know how to get students to better engage and discuss with each other online - it's difficult to monitor progress in zoom rooms and organically switch back and forth between small and large group discussions."
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Part-time or Adjunct faculty,"Typically, my class is fairly interactive, and I have a reasonable grasp of how confused my students feel (not always the same as how confused they are) in person, and I wasn’t able to find adequate replacements for these in the time allotted during the semester.  The chief problem was significant cheating on the exams, particularly the first one back, hence the use of Respondus, which had problems but seemed to help.  I practiced the lecture portion during the extended spring break with and worked out a mandatory post -lecture feedback mechanism.  It was inadequate but better than nothing in replacing in-class participation."
Four Year Private College/University,Bachelor's,Urban Institution,2,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"The main issue for me was *not* the switch to online teaching, but rather the switch to teaching with a 1 and 4 year old at home.  My wife is also a physics professor, and had a higher teaching load than me this semester.  I didn't have the luxury of ""worrying"" about my teaching or trying to do a ""great job"" of teaching online.  I almost didn't answer the survey, because I *still* have no time for anything but the most critical things.  But I wanted to respond because I suspect there are statistically more people in my position than you will get responses from.

(to the last question:  no thanks--I haven't had 30 minutes to myself since this started!)"
Four Year Private College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"I taught as a semi-traditional lecture, with a screen-share where I showed slides and hand-wrote notes on a tablet. The hardest part was getting student participation; breakout sessions were unwieldy and students were more reluctant to speak up than they are in face-to-face instruction.

In the future I think I will do pre-recorded short lectures for the students to watch, and then run class as an open problem solving session with breakout groups."
Four Year Private College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,I reduced expectations and became more student-focused. Office hours by zoom were important.
Four Year Public College/University,Ph.D.,Urban Institution,1,36-50,I have never taught online or in a blended format previously.,3-4 days,Other,The class I teach is a physics lab. So when it went online it was challenging to change the entire plan of the rest of the semester and figure out online activities. Most of the activities were given by the lab manager and then I forward it to my students. Some of the students had a hard time with the software which caused delays and extra work.
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Urban Institution",2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"It was VERY stressful for the first week, and changing the exams from written to online multiple choice was very stressful.  But I had great help from my very smart grader, who learned and taught me how to randomize the question order in groups of questions of the same value.  That appears to have worked, and kept the students from cheating when taking the final exam remotely."
Four Year Public College/University,Master's,NA,2,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"Only had one class to worry about due to a pre-existing teaching release, and that was a small upper-level E&M course.  Probably the easiest class of course to shift to online, with a small number of cluefull and motivated students.  Disruptions were much larger in the big service courses which make up most of our department's workload.  So, I'm not hte best person to talk to about this."
Four Year Public College/University,Ph.D.,Urban Institution,2,200 or more,I have taught fully online previously.,5-6 days,Tenure-track instructional faculty,Transition to online was rapid with almost no time to strategize and debug before launch. Very stressful.
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I had to prepare lecture notes that contained some of the details I would otherwise explain at the blackboard. That took quite some time because I normally ask students to read different textbooks that cover the same material.

I had much less feedback from the students if they comprehended that material. One simply cannot replace the information one gets when one looks at the students during class."
Four Year Public College/University,Ph.D.,Urban Institution,1,21-35,I have taught fully online previously.,1-2 weeks,Tenured faculty with research expectations,"I taught upper division E&M and transitioned to Zoom after spring break (late March).  We used breakout rooms rather than having students work together in small groups as we did in person. In a nominal 80-minute class we typically used 20 - 30 minutes for such activities.  In some ways, the students interacted with each other more using these breakout rooms.  Of course, one group did not hear what other groups were saying to each other, or hear their conversations with me.  That was a downside.  The more serious problem was that before the shutdown many students would work together outside of class, meeting informally in the atrium of the ""Student Learning Center"" (just a room with desks, chairs, and a coffee pot).  It *seems* there was less of. this done online."
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I had done a little bit of preparation for the students before Covid19 happened because I saw it coming in advance.  I changed my brief in-class lectures to short youtube videos.  The rest of the class was coding-focused, and I was able to do most of that online.  The big challenge was student engagement. I dropped the attendance requirement because students may not be able to attend all the time, and that meant I didn't see most of the students any more.  I do not have a solution to that."
Two Year Public College,Associate degree,"Minority-Serving Institution,Hispanic-Serving Institution,Black-Serving Institution,Urban Institution",3,21-35,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",3-4 weeks,Tenure-track instructional faculty,I didn't feel any difference in my delivery method as I taught synchronous classes. I missed looking at my students face and adjust my teaching dynamically as I am used to. I feel sad my students and  I lost the personal office hours where they shared their personal stories and had a feeling of belonging. I tried hard to recreate it online but it only worked partially.
Four Year Private College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"Largest challenge was time.  My spouse worked full-time and our two young children (one with severe autism) were home with no child-care.  It required me taking care of the children during the day and on weekends. Synchronous hours were fortunately discouraged by the university or it would have been impossible.

Next largest challenge was the ""happy aren't we all doing well"" emails from senior administration that seemed to have no understanding of the very different experience of parents with young children.


"
Four Year Public College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"My class was not a typical, high-content physics class, but rather about shepherding about 22 students through the experience of writing up physics research.  The transition to online was made easier by the fact that the students already had a well-established cohort and the class had met face-to-face for 2 terms prior.  I am more concerned about the same class next year, when I will have to establish the cohort remotely.  The hardest part is engaging with 25 blocks on a screen - most students turn off video to conserve bandwidth.  I like the breakout room feature of Zoom.  (The students seem to as well). It gets discussion going."
Four Year Public College/University,Bachelor's,Rural Institution,2,36-50,I have taught fully online previously.,3-4 days,Tenure-track with research expectations,"I had two classes and a lab.  My large class I pre-recorded lectures, my small, upper-level class we met synchronously and the lab we adapted the remaining labs with PhETs.  I am most concerned with test integrity with large classes.  Apparently in other departments at my university they had rampant cheating.  I had a few suspicious incidents but nothing nailed on, or I just missed it, but this is a real concern.  We are also preparing lab kits in order to have students do real experiments if we must do this again in the Fall."
Four Year Public College/University,Ph.D.,NA,3,101-200,I have taught in a blended online/in-person format previously.,1-2 weeks,Tenured instructional faculty,It was exciting to try and run labs online. The result though was that student writing and analysis were poorer.
Four Year Public College/University,Ph.D.,Urban Institution,2,36-50,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,I was unhappy with the exams. I believe there was some cheating. Some students turned exams hours and even days late.
Two Year Public College,Associate degree,Urban Institution,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Part-time or Adjunct faculty,On-line teaching presents inherent communication deficiencies.
Four Year Public College/University,Ph.D.,Urban Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I assigned on-line lectures but I don't think most students used them. The on-line sessions turned into problem solving sessions, which students enjoyed. I used an iPad with a stylus for writing using Zoom."
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have taught in a blended online/in-person format previously.,5-6 days,Tenured faculty with research expectations,"Used to online teaching, but only as part of course. Seriously missed direct contact, meeting in the class room, and face-to-face interaction."
Four Year Private College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,I had to work harder to keep the class engaged.
Four Year Public College/University,Ph.D.,Rural Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"Delivery of content was not an issue, as there are many available existing online resources with good production quality to choose from.  The issue that no one in our department could adequately address was academic dishonesty when taking exams/quizzes/tests, etc.  In STEM fields such as physics, there are multiple online resources that have extensive banks of sample problems, making designing of truly original assessments particularly difficult."
Four Year Private College/University,Ph.D.,NA,1,20-Nov,I have never taught online or in a blended format previously.,5-6 days,Full time instructional faculty without tenure,"I think online classes are enormously effective for large enrollments in which the student-to-instructor contact is barely existent in the face-to-face setting. Better to record lectures once for all, with the students accessing at any time, and then go for recitations in small classes, and to offer more office hours. 

The case of graduate instruction is different, and it would be preferable in this case to have face-to-face interactions is quite beneficial.

In any event we have to rethink this inefficient routine of going to class with notes and repeating every year the same stuff. Consider also that we could address a much large audience with online courses, which is extremely important since about one person each 10,000 in the world has a scientific education.

Another advantage of online classes is that people with disabilities, either instructors or students, can participate in the teaching and learning process in a much easier setting. I can envision for example that a brilliant instructor in a wheelchair can continue to work without any major issue, something impossible with the traditional approach. Same of course for students. 

It is also worth to point out the enormous reduction in CO2 emission if classes are taught from home, reducing to zero the commuting time and allowing more time for research, teaching, free time, and family."
Two Year Public College,Associate degree,"Minority-Serving Institution,Rural Institution,Urban Institution",4,21-35,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",1-2 weeks,Part-time or Adjunct faculty,The hardest part of assessing student engagement.
Four Year Public College/University,Bachelor's,NA,3,21-35,I have never taught online or in a blended format previously.,5-6 days,Tenured instructional faculty,"In thinking about likely online delivery of content in fall, my biggest challenge will be engaging students in content posted in the LMS (Canvas in my case).  Analytics from spring semester showed roughly only 1/3 of students regularly viewed content.  At present, my plan is to embed reading content and video lectures (in manageable, short clips) in LMS quizzes so that students will be prompted to answer questions about content as they go along.  

Also, online tests with Respondus Monitor can be improved by use of wired WebCams that can be used to view a student's workspace rather than viewing the student's face exclusively.  I hope to be able to require that in fall."
Four Year Public College/University,Ph.D.,Urban Institution,2,21-35,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,I absolutely hate it.  Having face to face contact is an important part of learning physics. It's not history after all and I need to read faces to tell if my students are getting it.
Four Year Public College/University,Ph.D.,Minority-Serving Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I tried to keep the same approach and learning expectations in order to reduce the disruption.  I didn't anticipate how large the disruption actually was for students in terms of the patterns and pacing of the class.  Over the four weeks we were online in the spring I got more intentional about arranging deadlines to pace the work.  I thought giving more time was helpful but sometimes it wasn't if it meant that too many things were due around the same time.  Finding a pattern for lectures & associated ""in-class"" work, labs, and homework that was regular but spread the deadlines out was important.  I extended deadlines but I made students request extensions individually and tell me what was going on.  I granted them all for just about any reason, but I think they felt a lot better if they could tell me why and communicate their struggles.  This was a very different circumstance than a course that was online from the beginning.  Many of the lessons have more to do with a sudden and unanticipated transition and student stress than they have to do with online teaching."
Four Year Public College/University,Ph.D.,Hispanic-Serving Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I had a class of ten people, so in addition to online lectures I sent individual mails about all the assignments, and
gave unlimited resubmission opportuities.   About 2/3 of the students took advantage of this, and it worked out
well for them although it took lots of my time.   About 1/3 of the students fell behind.   I don't know if they
were distracted by all the stuff that was going on, or just taking advantage of the free pass/fail options that our
university offered."
Four Year Public College/University,Ph.D.,NA,2,36-50,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,"I delivered the lectures synchronously, but I also was recording the lectures so students could see them at a later time. I tracked whether the students would use these recording, and they did a lot! I did not expect this. I guess it was helpful for homework, when the students had to solve similar problems."
Four Year Private College/University,Ph.D.,NA,1,200 or more,I have taught fully online previously.,0-2 days,Other,I was teaching a face-to-face and asynchronous online class during our Jan-April session. Obviously the impact to the asynchronous online class was minimal. I'm teaching a flipped hybrid currently.
Four Year Private College/University,Bachelor's,Rural Institution,5 or more,21-35,I have taught fully online previously.,5-6 days,Full time instructional faculty without tenure,"Learning to write on the Wacom tablet took some time along with figuring out what software to use for writing and sketching, and recording. Adjusting labs was a bit difficult. I have incorporated taking pictures and short movie clips of performing the lab experiments."
Four Year Public College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"Normally, I observe students reaction, adjust the speed accordingly, and often repeat difficult derivations in a different way. All this does not work in online setting: teaching feels like talking to an empty room. 

Also, I found it necessary to write and distribute the lecture notes. Some students appreciated the effort, but it takes a lot of time."
Two Year Public College,Associate degree,"Minority-Serving Institution,Historically Black College or University,Rural Institution",5 or more,21-35,I have taught fully online previously.,0-2 days,Full time instructional faculty without tenure,Preparing classes online is more time-consuming for the instructor than teaching it in person. Having good video recording software makes things easier.
Four Year Public College/University,Bachelor's,NA,1,51-100,I have never taught online or in a blended format previously.,0-2 days,Full time instructional faculty without tenure,I found it more difficult to gauge whether students really knew how to solve the problems.  Very few seemed to take advantage of virtual office hours via Blackboard Collaborate Ultra.
Four Year Private College/University,Ph.D.,NA,1,200 or more,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,"I recorded audio of me giving my lecture and provided an mp3 and a pdf of my notes to my students.  Students were so pleased that they didn't have to stream class or download a huge video file.  Internet speed was a major issue for some students and for me as well.  I do just fine teaching online with the technology, etc. but I hate it compared to in person teaching."
Four Year Public College/University,Ph.D.,Rural Institution,2,101-200,I have never taught online or in a blended format previously.,5-6 days,Full time instructional faculty without tenure,"I moved to conducting lectures synchronously online for my two classes, which were quite different from one another, and required different strategies. For my 64-student gen-ed, I used powerpoint on Zoom, encouraged students to ask questions using the chat. I had four TAs available to supervise team-based activities once a week in breakout rooms. For breakout rooms, I first tried having supergroups where there was 1 TA/room with multiple teams in the room, but that did not work. I shifted to 1 team per breakout room, with TAs moving between a subset of rooms to check on students. There were numerous challenges, mainly to do with students being able to do modified lab-like activities in their homes - for some, this was not possible. I tried to make sure at least one person per team could do the activity, and then discuss it within their team. My one remaining exam was open-book, timed and delivered through the online system. Problems were grouped by topic. Once you opened a set of problems, you had to submit within a fixed time interval. However, the whole exam was available for 24 hours. Instead of a final, I had a paper and online presentations.

For my upper-level physics class, with 18 students, it was challenging to run a traditional lecture. I began by handwriting and uploading notes that I went through on Zoom - the students hated this, it went too fast for them. I tried purely writing on OneNote - too slow. The compromise was to handwrite and upload scanned notes before class, and then annotate them using OneNote. This worked better, but it was still hard for students to stay focused. Going forward, I would intersperse my lecture with short problems for them to do, do make the learning more active. I modified the exam to be take-home, open book, and to be completed within 48 hours.

What I took away from this experience, as a novice online instructor, but one who is comfortable with technology, is that each class needs to be tailored so that student learning outcomes are minimally affected, and are what you would like them to be."
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,I actually found it possible to engage students with active questions during lecture - maybe even more easily than with in-person lectures.  Somehow students feel less intimidated online.
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Black-Serving Institution,Urban Institution",3,51-100,I have taught fully online previously.,3-4 days,Full time instructional faculty without tenure,"Much of my course was already in the LMS. For the course that transitioned, it was details to getting synchronous videoconferencing and deploying exams online."
Four Year Public College/University,Ph.D.,Rural Institution,3,51-100,I have taught fully online previously.,1-2 weeks,Tenured instructional faculty,I found that I needed to develop strategies combating student fatigue and loss of interest.
Four Year Public College/University,Ph.D.,Urban Institution,1,200 or more,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I have used completely typed lectured for several years now, so transitioning was not a problem."
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,"The most difficult aspect of teaching online via zoom, which was the case for me in the spring (only 8 graduate students), is to get students' feedback during class. Interactive teaching is what I always like, but it was nearly impossible for my class in the spring. I also found it difficult not being able to write on blackboard (e.g., deriving equations, ...). We are learning to how to do better for the fall and I believe that the difficulties will be largely removed in the fall in case we have to do online teaching again in the fall."
Four Year Public College/University,Ph.D.,NA,2,101-200,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,The main difficulty was widespread cheating on online exams aided by the cheating company Chegg
Four Year Public College/University,Ph.D.,"Hispanic-Serving Institution,Urban Institution",1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"I got pretty overwhelmed by the amount of information and suggestions coming out, especially since most of it was the same, so I just put together something on Blackboard and made sure it worked.  Homework and grading were already online, although purely electronic administration of the quizzes and exams had some bumps on startup."
Four Year Private College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,"I delivered my first online exams, which consisted entirely of multiple-choice questions, randomized in order. I had to make this transition quickly, and didn't have time to learn best practices for online exams.  I generally have a different format for in-class exams.  Averages for these online exams were extraordinarily high (e.g. 90% or more, when in-class exams were typically close to 70% for an average).  I discovered some of my exam questions on Chegg.com, so I'm quite sure there was rampant cheating, but have no time or methods to truly figure out who was cheating.  Any solutions to this issue would be vital for future ""online"" course offerings."
Four Year Public College/University,Ph.D.,Urban Institution,4,101-200,I have taught fully online previously.,0-2 days,Full time instructional faculty without tenure,"I have lots to learn about ""Zooming"" a class so that students can ask questions during the lecture--which I miss.  I also believe there is something about a consistent meeting time that makes it easier for all."
Four Year Public College/University,Ph.D.,Rural Institution,1,10-Jun,I have taught in a blended online/in-person format previously.,1-2 weeks,Other,I had a large 4 by 6 foot white board brought over to my house and lectured more or less as normal using zoom. The students submitted homework as pdf's through email. Similarly for take home exams. Student interaction was good. They frequently asked questions during the lectures. I also frequently asked the students how it was going as compared to other approaches and they always said they were happy with the lectures. My only concern was that I was never totally happy with the lighting.
Four Year Private College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Black-Serving Institution,Urban Institution",1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"The short notice was a big problem.  Its a lab+lecture course in which most of the grade is associated with the lab and exams.  The course is Observational Astronomy and the lab entails using telescopes, so it was difficult to find suitable virtual substitutes.  
The biggest problem however with any online course as I now perceive it, is giving exams and meaningful homework and lab grades, because it seems impossible to insure independent work."
Four Year Public College/University,Ph.D.,Urban Institution,1,20-Nov,I have never taught online or in a blended format previously.,0-2 days,Tenured faculty with research expectations,It turned out to me that online teaching (my upper-level grad course with 10ish students) is quite easy.
Four Year Private College/University,Ph.D.,Urban Institution,1,36-50,I have never taught online or in a blended format previously.,0-2 days,Part-time or Adjunct faculty,Did Powerpoint instead of real-time solutions of problems.
Four Year Public College/University,Ph.D.,Rural Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"The greatest difficulty was assessing students' understanding during lectures, since most students kept their cameras turned off, or the picture was hidden on my screen."
Four Year Private College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,Preparing for and teaching online was much more stressful and time-consuming than my previous teaching of  face-to-face classes.
Four Year Private College/University,Ph.D.,NA,2,20-Nov,I have taught in a blended online/in-person format previously.,3-4 days,Tenured faculty with research expectations,I find it hard to get students involved in on-line class or to check if they participate because most of the time they just mute their camera and their microphone for the entire class session
Four Year Public College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"I transitioned an advanced lab (senior physics majors) class to online. It was completely different, but it worked great. I got to include machine learning and the analysis of ATLAS and LIGO open datasets into our curriculum."
Four Year Public College/University,Bachelor's,Rural Institution,1,20-Nov,I have taught fully online previously.,1-2 weeks,Tenured faculty with research expectations,Our university is very well equipped for this transition.
Four Year Public College/University,Bachelor's,Rural Institution,3,21-35,I have never taught online or in a blended format previously.,3-4 weeks,Tenure-track with research expectations,Keep continuous contact with students so they stay tuned and they feel they're not alone.
Four Year Private College/University,Ph.D.,Urban Institution,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,Evaluating homework and take-home exams was difficult.  I had the students email the assignments to me in whatever form they wanted to use. Then I had to use clumsy text editors to put comments and number grades on their work.
